instructor,rmp_rating,rmp_difficulty,rmp_num_ratings,rmp_take_again,rmp_url,rmp_dept,rmp_tags
"PELLOW, DAVID",4.9,2.2,46,100%,https://www.ratemyprofessors.com/professor/2151033,Environmental Science  Mgmt.,"AMAZING LECTURES, INSPIRATIONAL, RESPECTED, CARING, EXTRA CREDIT, HILARIOUS, LECTURE HEAVY, GET READY TO READ, CLEAR GRADING CRITERIA"
"GONZALES, AMY",2.8,3.3,39,38%,https://www.ratemyprofessors.com/professor/2518008,Communication,"GET READY TO READ, TOUGH GRADER, LECTURE HEAVY, GROUP PROJECTS, TEST HEAVY, CLEAR GRADING CRITERIA, GRADED BY FEW THINGS"
"COOK, ELIZABETH",4.2,3.0,39,88%,https://www.ratemyprofessors.com/professor/527831,English,"GET READY TO READ, GIVES GOOD FEEDBACK, TOUGH GRADER, AMAZING LECTURES, RESPECTED, GRADED BY FEW THINGS, PARTICIPATION MATTERS, CARING, INSPIRATIONAL, ACCESSIBLE OUTSIDE CLASS"
"YANG, XU",2.7,3.1,37,44%,https://www.ratemyprofessors.com/professor/1860302,Mathematics,"GRADED BY FEW THINGS, TEST HEAVY, TOUGH GRADER, LOTS OF HOMEWORK, LECTURE HEAVY"
"SCHOW, CLINT",1.8,4.6,35,17%,https://www.ratemyprofessors.com/professor/2387242,Electrical & Comp. Engineering,"TEST HEAVY, TOUGH GRADER, GRADED BY FEW THINGS, LECTURE HEAVY, LOTS OF HOMEWORK, AMAZING LECTURES"
"BAKSHI, RHEA",4.3,2.9,31,83%,https://www.ratemyprofessors.com/professor/3042736,Mathematics,"CARING, AMAZING LECTURES, CLEAR GRADING CRITERIA, EXTRA CREDIT, ACCESSIBLE OUTSIDE CLASS, INSPIRATIONAL, PARTICIPATION MATTERS, GET READY TO READ, GIVES GOOD FEEDBACK, RESPECTED"
"DIAZ SANCHEZ, MICAELA",3.0,2.3,23,47%,https://www.ratemyprofessors.com/professor/2153389,Chicano Studies,"GET READY TO READ, GRADED BY FEW THINGS, CARING, EXTRA CREDIT, CLEAR GRADING CRITERIA, AMAZING LECTURES, INSPIRATIONAL, PARTICIPATION MATTERS, LECTURE HEAVY"
"GREENE, BRANDON",2.7,4.6,22,36%,https://www.ratemyprofessors.com/professor/2628632,Biochemistry,"GET READY TO READ, TOUGH GRADER, PARTICIPATION MATTERS, SKIP CLASS? YOU WON'T PASS., TEST HEAVY, CARING, ACCESSIBLE OUTSIDE CLASS"
"FRIDLUND, ALAN",4.1,3.1,516,73%,https://www.ratemyprofessors.com/professor/855,Psychology,"GET READY TO READ, AMAZING LECTURES, HILARIOUS, TEST HEAVY, SKIP CLASS? YOU WON'T PASS., TOUGH GRADER, LECTURE HEAVY, GRADED BY FEW THINGS"
"PORTER, MATT",4.5,2.5,314,86%,https://www.ratemyprofessors.com/professor/1857546,Mathematics,"CLEAR GRADING CRITERIA, LOTS OF HOMEWORK, CARING, ACCESSIBLE OUTSIDE CLASS, AMAZING LECTURES, PARTICIPATION MATTERS, HILARIOUS, TEST HEAVY, GIVES GOOD FEEDBACK, EXTRA CREDIT, GRADED BY FEW THINGS, LECTURE HEAVY"
