instructor,rmp_rating,rmp_url
DAVIT HARUTYUNYAN,2.9,https://www.ratemyprofessors.com/professor/2518738
JITENDRA RATHORE,4.3,https://www.ratemyprofessors.com/professor/3046038
CARL MEINHART,4.6,https://www.ratemyprofessors.com/professor/538365
SAMANTHA DALY,4.0,https://www.ratemyprofessors.com/professor/2330592
IGNACIO ESPONDA,5.0,https://www.ratemyprofessors.com/professor/2554527
JOAO HESPANHA,4.9,https://www.ratemyprofessors.com/professor/937373
ENOCH YEUNG,4.6,https://www.ratemyprofessors.com/professor/2555743
ALEXANDER FRANKS,4.6,https://www.ratemyprofessors.com/professor/2578431
YUKIKO TSUCHIYA,5.0,https://www.ratemyprofessors.com/professor/2842873
FRANCIS DUNN,3.7,https://www.ratemyprofessors.com/professor/149977
ROBERT LEWIS,4.4,https://www.ratemyprofessors.com/professor/2170428
VANESSA WOODS,3.5,https://www.ratemyprofessors.com/professor/823219
LIOR SEPUNARU,4.4,https://www.ratemyprofessors.com/professor/2420291
LUKE ROBERTS,4.2,https://www.ratemyprofessors.com/professor/315248
JONATHAN SCHOOLER,3.5,https://www.ratemyprofessors.com/professor/1138550
GEORGIOS KOUTROULAKIS,4.3,https://www.ratemyprofessors.com/professor/2241089
SCOTT MARCUS,3.3,https://www.ratemyprofessors.com/professor/49030
LISA JACOBSON,4.0,https://www.ratemyprofessors.com/professor/419645
PETER HUK,4.4,https://www.ratemyprofessors.com/professor/895021
SHU-CHUAN (BELLA) CHEN,4.7,https://www.ratemyprofessors.com/professor/802822
JEREMY DOUGLASS,3.4,https://www.ratemyprofessors.com/professor/446309
HAL PEDERSEN,2.1,https://www.ratemyprofessors.com/professor/2589035
YANG HAI,2.7,https://www.ratemyprofessors.com/professor/2870878
BROOKE GARDNER,3.1,https://www.ratemyprofessors.com/professor/2708227
KATHERINE ELDER,5.0,https://www.ratemyprofessors.com/professor/3047865
MARK SHISHIM,4.8,https://www.ratemyprofessors.com/professor/1796107
ANDREW TEEL,4.4,https://www.ratemyprofessors.com/professor/22622
JIM BUCKWALTER,4.4,https://www.ratemyprofessors.com/professor/2202887
B. S. MANJUNATH,3.5,https://www.ratemyprofessors.com/professor/1380891
DARAKA LARIMORE-HALL,4.0,https://www.ratemyprofessors.com/professor/3088877
PHILLIP CHRISTOPHER,4.0,https://www.ratemyprofessors.com/professor/3045818
TANJA STOYAN,4.0,https://www.ratemyprofessors.com/professor/2238586
FABIAN OFFERT,5.0,https://www.ratemyprofessors.com/professor/2678146
JOHN PARK,4.2,https://www.ratemyprofessors.com/professor/208021
CARLOS GARCIA,1.9,https://www.ratemyprofessors.com/professor/549617
JOHN LEE,4.1,https://www.ratemyprofessors.com/professor/268045
STUART FEINSTEIN,4.4,https://www.ratemyprofessors.com/professor/178205
DAN LANE,4.7,https://www.ratemyprofessors.com/professor/2572033
CLAUDIA MOSER,3.8,https://www.ratemyprofessors.com/professor/2044300
DOUGLAS KULPER,3.7,https://www.ratemyprofessors.com/professor/762307
JARETT HENDERSON,3.7,https://www.ratemyprofessors.com/professor/2437536
DENNIS CLEGG,3.8,https://www.ratemyprofessors.com/professor/178193
EVA BRAUNSTEIN,4.4,https://www.ratemyprofessors.com/professor/2196497
BREE LANG,4.8,https://www.ratemyprofessors.com/professor/3082037
DAVID CARATELLI,4.8,https://www.ratemyprofessors.com/professor/2854621
TED FRECH,3.0,https://www.ratemyprofessors.com/professor/1181888
DAVID LAWSON,4.1,https://www.ratemyprofessors.com/professor/2354407
MAX WILSON,1.7,https://www.ratemyprofessors.com/professor/3060533
JESSICA NAKAMURA,4.6,https://www.ratemyprofessors.com/professor/2640898
VICKIE VERTIZ,4.2,https://www.ratemyprofessors.com/professor/2602685
MATTHEW BREECE,4.6,https://www.ratemyprofessors.com/professor/3043763
DANIEL HALMRAST,4.8,https://www.ratemyprofessors.com/professor/2613411
SUSAN GROVER,4.8,https://www.ratemyprofessors.com/professor/2476982
JUDE AKUDINOBI,3.4,https://www.ratemyprofessors.com/professor/403880
RICHERT WANG,4.5,https://www.ratemyprofessors.com/professor/2342194
STEPHANIE BATISTE,2.7,https://www.ratemyprofessors.com/professor/1113147
DOUG STEIGERWALD,2.9,https://www.ratemyprofessors.com/professor/59022
ELIZABETH COOK,4.2,https://www.ratemyprofessors.com/professor/527831
HEATHER BADAMO,2.3,https://www.ratemyprofessors.com/professor/2107236
ROBERT SAMUELS,3.3,https://www.ratemyprofessors.com/professor/1933039
THERESE LANDRY,3.1,https://www.ratemyprofessors.com/professor/2884358
DAVID STONE,4.3,https://www.ratemyprofessors.com/professor/1676569
PETER GILBERT,3.6,https://www.ratemyprofessors.com/professor/3065444
SIMONE PULVER,4.1,https://www.ratemyprofessors.com/professor/1702992
IAN WALKER,3.5,https://www.ratemyprofessors.com/professor/2780248
JASON MARDEN,4.6,https://www.ratemyprofessors.com/professor/2550477
TRISALYN NELSON,3.3,https://www.ratemyprofessors.com/professor/2969596
DAWN MURRAY,4.0,https://www.ratemyprofessors.com/professor/2997282
ED SWEENEY,3.0,https://www.ratemyprofessors.com/professor/3049038
ERIC ENGEL,4.9,https://www.ratemyprofessors.com/professor/1434414
ARGYRO KATSIKA,4.3,https://www.ratemyprofessors.com/professor/2229288
CYNTHIA GANGI,4.9,https://www.ratemyprofessors.com/professor/1300671
JOHN LATTO,4.8,https://www.ratemyprofessors.com/professor/1254807
ROD GARRATT,4.3,https://www.ratemyprofessors.com/professor/453417
BENJAMIN ZULUETA,3.2,https://www.ratemyprofessors.com/professor/1553777
AMR EL ABBADI,4.3,https://www.ratemyprofessors.com/professor/60790
STEPHEN ZYLSTRA,4.0,https://www.ratemyprofessors.com/professor/2081574
ADAM SABRA,3.3,https://www.ratemyprofessors.com/professor/2111393
REGINA LAPATE,4.5,https://www.ratemyprofessors.com/professor/2680756
MARY TRIPSAS,4.0,https://www.ratemyprofessors.com/professor/3151174
MARION LABATUT,5.0,https://www.ratemyprofessors.com/professor/2056446
TERESA SHEWRY,4.7,https://www.ratemyprofessors.com/professor/1258699
STEPHANIE MALIA HOM,4.7,https://www.ratemyprofessors.com/professor/2657500
RUTH HELLIER-TINOCO,3.1,https://www.ratemyprofessors.com/professor/1266148
TYMOTEUSZ CHAJDAS,4.0,https://www.ratemyprofessors.com/professor/2534352
